date,ethereum,trend_diff,trend_log_return
2024-06-29,16,-1.0,-0.0606246218164348
2024-06-30,17,1.0,0.0606246218164348
2024-07-01,25,2.0,0.083381608939051
2024-07-02,26,1.0,0.0392207131532813
2024-07-03,26,0.0,0.0
2024-07-04,30,4.0,0.1431008436406732
2024-07-05,35,5.0,0.1541506798272583
2024-07-06,27,-8.0,-0.2595111954850845
2024-07-07,27,0.0,0.0
2024-07-08,30,3.0,0.1053605156578263
2024-07-09,28,-2.0,-0.0689928714869514
2024-07-10,28,0.0,0.0
2024-07-11,29,1.0,0.0350913198112701
2024-07-12,31,2.0,0.0666913744986721
2024-07-13,30,-1.0,-0.0327898228229908
2024-07-14,27,-3.0,-0.1053605156578262
2024-07-15,37,10.0,0.3150810466398954
2024-07-16,33,-4.0,-0.1144103511777442
2024-07-17,33,0.0,0.0
2024-07-18,31,-2.0,-0.0625203569813339
2024-07-19,31,0.0,0.0
2024-07-20,49,18.0,0.4578330936254803
2024-07-21,30,-19.0,-0.4906229164484712
2024-07-22,36,6.0,0.1823215567939546
2024-07-23,54,18.0,0.4054651081081644
2024-07-24,39,-15.0,-0.325422400434628
2024-07-25,60,21.0,0.4307829160924543
2024-07-26,34,-26.0,-0.5679840376059393
2024-07-27,32,-2.0,-0.0606246218164348
2024-07-28,28,-4.0,-0.1335313926245226
2024-07-29,37,9.0,0.2787134024690205
2024-07-30,29,-8.0,-0.2436220826577504
2024-07-31,28,-1.0,-0.03509131981127
2024-08-01,31,3.0,0.1017826943099423
2024-08-02,26,-5.0,-0.1758906664636641
2024-08-03,29,3.0,0.109199291964992
2024-08-04,40,11.0,0.3215836241274623
2024-08-05,87,47.0,0.7770286645406473
2024-08-06,52,-35.0,-0.5146644000731563
2024-08-07,54,2.0,0.0377403279828471
2024-08-08,40,-14.0,-0.3001045924503381
2024-08-09,32,-8.0,-0.2231435513142097
2024-08-10,28,-4.0,-0.1335313926245226
2024-08-11,30,2.0,0.0689928714869514
2024-08-12,32,2.0,0.0645385211375711
2024-08-13,30,-2.0,-0.0645385211375711
2024-08-14,30,0.0,0.0
2024-08-15,29,-1.0,-0.0339015516756813
2024-08-16,26,-3.0,-0.1091992919649919
2024-08-17,26,0.0,0.0
2024-08-18,24,-2.0,-0.0800427076735363
2024-08-19,28,4.0,0.1541506798272583
2024-08-20,26,-2.0,-0.0741079721537218
2024-08-21,27,1.0,0.0377403279828471
2024-08-22,25,-2.0,-0.0769610411361283
2024-08-23,28,3.0,0.1133286853070032
2024-08-24,27,-1.0,-0.0363676441708748
2024-08-25,26,-1.0,-0.037740327982847
2024-08-26,26,0.0,0.0
2024-08-27,27,1.0,0.0377403279828471
2024-08-28,27,0.0,0.0
2024-08-29,35,8.0,0.2595111954850846
2024-08-30,25,-10.0,-0.3364722366212129
2024-08-31,22,-3.0,-0.1278333715098848
2024-09-01,33,11.0,0.4054651081081644
2024-09-02,24,-9.0,-0.3184537311185346
2024-09-03,25,1.0,0.0408219945202552
2024-09-04,24,-1.0,-0.0408219945202551
2024-09-05,24,0.0,0.0
2024-09-06,28,4.0,0.1541506798272583
2024-09-07,25,-3.0,-0.1133286853070031
2024-09-08,23,-2.0,-0.083381608939051
2024-09-09,25,2.0,0.083381608939051
2024-09-10,23,-2.0,-0.083381608939051
2024-09-11,23,0.0,0.0
2024-09-12,30,7.0,0.2657031657330057
2024-09-13,24,-6.0,-0.2231435513142097
2024-09-14,22,-2.0,-0.0870113769896298
2024-09-15,20,-2.0,-0.0953101798043249
2024-09-16,24,4.0,0.1823215567939546
2024-09-17,25,1.0,0.0408219945202552
2024-09-18,31,6.0,0.2151113796169455
2024-09-19,27,-4.0,-0.1381503384808171
2024-09-20,25,-2.0,-0.0769610411361283
2024-09-21,21,-4.0,-0.1743533871447778
